Image,Brightness,Contrast,Blur,Gamma,CLAHE,Sharpen,Enhanced
0001TP_008280.png,63.93,53.37,133.28,Yes,No,No,Yes
0001TP_008310.png,64.72,54.29,129.42,Yes,No,No,Yes
0001TP_008340.png,62.69,52.52,124.14,Yes,No,No,Yes
0001TP_008370.png,60.93,52.68,129.15,Yes,No,No,Yes
0001TP_008400.png,61.02,54.14,133.34,Yes,No,No,Yes
0001TP_008430.png,59.61,55.38,130.02,Yes,No,No,Yes
0001TP_008460.png,59.18,54.21,131.63,Yes,No,No,Yes
0001TP_008490.png,57.92,54.0,117.94,Yes,No,No,Yes
0001TP_008520.png,57.75,54.37,123.26,Yes,No,No,Yes
0001TP_008550.png,59.38,55.4,130.64,Yes,No,No,Yes
0001TP_008580.png,63.94,57.8,133.08,Yes,No,No,Yes
0001TP_008610.png,67.8,60.5,155.76,Yes,No,No,Yes
0001TP_008640.png,62.93,56.62,216.37,Yes,No,No,Yes
0001TP_008670.png,55.91,51.31,226.92,Yes,No,No,Yes
0001TP_008700.png,57.88,50.67,241.16,Yes,No,No,Yes
0001TP_008730.png,60.02,53.58,275.32,Yes,No,No,Yes
0001TP_008760.png,60.26,56.05,204.98,Yes,No,No,Yes
0001TP_008790.png,59.42,56.03,262.92,Yes,No,No,Yes
0001TP_008820.png,59.64,56.78,266.96,Yes,No,No,Yes
0001TP_008850.png,59.79,57.44,257.59,Yes,No,No,Yes
0001TP_008880.png,59.3,57.98,248.64,Yes,No,No,Yes
0001TP_008910.png,59.36,58.33,241.12,Yes,No,No,Yes
0001TP_008940.png,59.21,58.22,235.55,Yes,No,No,Yes
0001TP_008970.png,60.96,59.56,255.54,Yes,No,No,Yes
0001TP_009000.png,61.23,59.59,256.04,Yes,No,No,Yes
0001TP_009090.png,61.74,58.86,246.91,Yes,No,No,Yes
0001TP_009120.png,60.82,59.47,219.63,Yes,No,No,Yes
0001TP_009150.png,60.6,59.74,202.87,Yes,No,No,Yes
0001TP_009180.png,59.89,59.08,208.44,Yes,No,No,Yes
0001TP_009330.png,59.11,59.16,216.06,Yes,No,No,Yes
0001TP_009360.png,59.22,59.15,218.5,Yes,No,No,Yes
0001TP_009570.png,61.77,60.03,222.71,Yes,No,No,Yes
0001TP_009600.png,61.91,59.46,224.58,Yes,No,No,Yes
0001TP_009630.png,61.51,58.04,175.05,Yes,No,No,Yes
0001TP_009660.png,59.86,55.88,163.69,Yes,No,No,Yes
0001TP_010170.png,73.61,83.52,211.64,No,No,No,No
0001TP_010200.png,71.06,77.2,418.2,No,No,No,No
0001TP_010230.png,64.42,72.73,416.64,Yes,No,No,Yes
0001TP_010260.png,60.86,71.65,373.53,Yes,No,No,Yes
0006R0_f00990.png,156.62,71.19,1216.64,No,No,No,No
0006R0_f01020.png,157.35,67.36,1669.49,No,No,No,No
0006R0_f01350.png,136.53,76.41,1189.04,No,No,No,No
0006R0_f01380.png,134.16,74.08,1339.23,No,No,No,No
0006R0_f01590.png,151.65,77.37,789.47,No,No,No,No
0006R0_f01620.png,145.34,78.23,950.48,No,No,No,No
0006R0_f01650.png,148.78,79.55,1478.16,No,No,No,No
0006R0_f01680.png,148.17,76.81,1842.95,No,No,No,No
0006R0_f02190.png,134.3,78.45,3370.45,No,No,No,No
0006R0_f02220.png,132.5,73.7,4166.01,No,No,No,No
0006R0_f02250.png,130.87,71.24,4445.81,No,No,No,No
0006R0_f02280.png,130.27,71.06,4648.25,No,No,No,No
0006R0_f02490.png,131.9,74.62,4168.87,No,No,No,No
0006R0_f02520.png,135.03,76.76,3830.17,No,No,No,No
0006R0_f02850.png,129.79,78.6,937.11,No,No,No,No
0006R0_f02880.png,128.37,79.35,762.96,No,No,No,No
0006R0_f03090.png,70.94,42.59,176.66,No,No,No,No
0006R0_f03120.png,74.49,47.81,195.69,No,No,No,No
0006R0_f03150.png,92.31,63.48,1033.51,No,No,No,No
0006R0_f03180.png,115.86,76.72,1401.07,No,No,No,No
0006R0_f03690.png,136.5,78.02,2850.71,No,No,No,No
0006R0_f03720.png,138.09,77.95,3053.32,No,No,No,No
0006R0_f03750.png,139.81,78.41,3118.29,No,No,No,No
0006R0_f03780.png,140.47,78.2,3042.51,No,No,No,No
0016E5_00420.png,103.13,77.42,835.36,No,No,No,No
0016E5_00450.png,129.75,79.98,959.37,No,No,No,No
0016E5_00780.png,149.88,82.52,1441.95,No,No,No,No
0016E5_00810.png,147.73,82.25,1367.86,No,No,No,No
0016E5_01020.png,137.68,81.25,1405.65,No,No,No,No
0016E5_01050.png,140.01,80.76,1580.81,No,No,No,No
0016E5_01080.png,145.73,75.17,1843.88,No,No,No,No
0016E5_01110.png,141.16,76.61,2439.48,No,No,No,No
0016E5_01620.png,130.39,81.22,2564.48,No,No,No,No
0016E5_01650.png,132.15,78.59,2373.11,No,No,No,No
0016E5_01680.png,131.86,79.84,2045.77,No,No,No,No
0016E5_01710.png,138.24,79.16,1833.22,No,No,No,No
0016E5_01920.png,113.21,78.89,1768.39,No,No,No,No
0016E5_01950.png,111.99,75.94,1780.14,No,No,No,No
0016E5_02280.png,141.92,84.08,2236.23,No,No,No,No
0016E5_02310.png,143.66,80.77,2321.72,No,No,No,No
0016E5_04440.png,99.28,82.28,610.03,No,No,No,No
0016E5_04470.png,99.55,82.24,621.9,No,No,No,No
0016E5_04500.png,99.66,82.08,617.64,No,No,No,No
0016E5_04530.png,100.16,82.45,605.1,No,No,No,No
0016E5_05040.png,97.38,73.57,621.77,No,No,No,No
0016E5_05070.png,97.41,73.51,597.65,No,No,No,No
0016E5_05100.png,97.8,75.03,657.96,No,No,No,No
0016E5_05130.png,97.26,75.51,724.14,No,No,No,No
0016E5_05340.png,92.31,69.48,742.39,No,No,No,No
0016E5_05370.png,92.51,68.7,756.23,No,No,No,No
0016E5_05700.png,95.59,70.68,776.65,No,No,No,No
0016E5_05730.png,100.11,70.81,767.11,No,No,No,No
0016E5_05940.png,95.39,77.93,810.32,No,No,No,No
0016E5_05970.png,92.64,77.61,914.0,No,No,No,No
0016E5_06000.png,97.91,80.95,987.72,No,No,No,No
0016E5_06030.png,99.63,82.54,1061.41,No,No,No,No
0016E5_06540.png,101.13,78.66,1498.63,No,No,No,No
0016E5_06570.png,91.27,74.29,1332.88,No,No,No,No
0016E5_06600.png,78.6,68.58,1102.27,No,No,No,No
0016E5_06630.png,67.04,67.02,845.18,Yes,No,No,Yes
0016E5_06840.png,86.45,76.13,792.31,No,No,No,No
0016E5_06870.png,96.96,77.78,980.56,No,No,No,No
0016E5_07200.png,97.27,78.96,1232.44,No,No,No,No
0016E5_07230.png,92.78,78.57,1156.07,No,No,No,No
0016E5_07440.png,89.03,77.65,818.06,No,No,No,No
0016E5_07470.png,88.82,74.13,864.86,No,No,No,No
0016E5_07500.png,87.45,72.15,1166.63,No,No,No,No
0016E5_07530.png,79.27,68.37,913.37,No,No,No,No
0016E5_07965.png,78.98,65.38,849.96,No,No,No,No
0016E5_07967.png,78.3,65.25,819.0,No,No,No,No
0016E5_07969.png,77.33,65.26,781.08,No,No,No,No
0016E5_07971.png,76.05,65.36,765.94,No,No,No,No
0016E5_07985.png,75.22,64.32,723.1,No,No,No,No
0016E5_07987.png,75.38,64.57,739.15,No,No,No,No
0016E5_08009.png,76.32,66.04,744.63,No,No,No,No
0016E5_08011.png,76.24,66.33,746.02,No,No,No,No
0016E5_08025.png,78.88,66.96,784.09,No,No,No,No
0016E5_08027.png,78.7,66.86,796.89,No,No,No,No
0016E5_08029.png,78.56,66.68,799.21,No,No,No,No
0016E5_08031.png,78.52,66.62,804.99,No,No,No,No
0016E5_08065.png,84.57,67.99,1041.52,No,No,No,No
0016E5_08067.png,84.88,68.08,1043.96,No,No,No,No
0016E5_08069.png,84.95,68.03,1045.61,No,No,No,No
0016E5_08071.png,85.17,67.92,1039.58,No,No,No,No
0016E5_08085.png,89.49,67.63,1196.01,No,No,No,No
0016E5_08087.png,89.71,67.77,1224.65,No,No,No,No
0016E5_08109.png,98.31,67.73,1383.39,No,No,No,No
0016E5_08111.png,97.54,67.35,1393.35,No,No,No,No
0016E5_08125.png,90.95,64.16,1270.58,No,No,No,No
0016E5_08127.png,90.03,63.81,1269.28,No,No,No,No
0016E5_08129.png,89.71,63.62,1249.43,No,No,No,No
0016E5_08131.png,88.43,63.66,1198.69,No,No,No,No
0016E5_08250.png,85.69,65.46,1045.98,No,No,No,No
0016E5_08280.png,94.68,71.45,891.82,No,No,No,No
0016E5_08310.png,98.06,73.35,964.94,No,No,No,No
0016E5_08340.png,92.11,76.2,953.37,No,No,No,No
0016E5_08550.png,110.65,80.83,1093.79,No,No,No,No
0016E5_08580.png,102.02,81.14,923.53,No,No,No,No
Seq05VD_f00240.png,106.93,77.93,963.77,No,No,No,No
Seq05VD_f00270.png,109.75,80.53,969.43,No,No,No,No
Seq05VD_f00480.png,101.11,69.64,687.02,No,No,No,No
Seq05VD_f00510.png,98.23,69.88,676.32,No,No,No,No
Seq05VD_f00540.png,97.96,67.27,701.27,No,No,No,No
Seq05VD_f00570.png,98.82,67.08,724.63,No,No,No,No
Seq05VD_f01080.png,105.19,68.06,1026.92,No,No,No,No
Seq05VD_f01110.png,98.42,69.76,1335.25,No,No,No,No
Seq05VD_f01140.png,90.27,71.47,1238.31,No,No,No,No
Seq05VD_f01170.png,102.4,79.19,831.2,No,No,No,No
Seq05VD_f01380.png,94.67,75.04,2055.67,No,No,No,No
Seq05VD_f01410.png,102.2,77.56,2158.4,No,No,No,No
Seq05VD_f01740.png,118.28,70.21,2222.4,No,No,No,No
Seq05VD_f01770.png,121.34,71.31,1898.74,No,No,No,No
Seq05VD_f01980.png,109.8,68.65,1415.47,No,No,No,No
Seq05VD_f02010.png,109.89,68.72,1401.75,No,No,No,No
Seq05VD_f02040.png,109.79,68.65,1398.62,No,No,No,No
Seq05VD_f02070.png,109.54,68.76,1394.47,No,No,No,No
Seq05VD_f02580.png,108.04,68.67,1374.95,No,No,No,No
Seq05VD_f02610.png,108.26,68.53,1380.54,No,No,No,No
Seq05VD_f02640.png,108.16,68.82,1382.07,No,No,No,No
Seq05VD_f02670.png,108.44,68.81,1389.25,No,No,No,No
Seq05VD_f02880.png,107.38,70.02,1395.48,No,No,No,No
Seq05VD_f02910.png,102.14,69.94,1435.29,No,No,No,No
Seq05VD_f03240.png,110.03,71.84,949.25,No,No,No,No
Seq05VD_f03270.png,113.96,74.1,1303.89,No,No,No,No
Seq05VD_f03480.png,168.85,82.83,1281.73,No,No,No,No
Seq05VD_f03510.png,175.74,77.49,721.55,No,No,No,No
Seq05VD_f03540.png,175.98,75.36,939.54,No,No,No,No
Seq05VD_f03570.png,165.7,76.71,1495.09,No,No,No,No
Seq05VD_f04080.png,120.65,84.57,1134.17,No,No,No,No
Seq05VD_f04110.png,118.74,79.07,1230.7,No,No,No,No
Seq05VD_f04140.png,116.76,78.48,1438.62,No,No,No,No
Seq05VD_f04170.png,115.38,74.36,1605.1,No,No,No,No
Seq05VD_f04380.png,128.41,80.12,1270.5,No,No,No,No
Seq05VD_f04410.png,131.67,76.48,1323.33,No,No,No,No
Seq05VD_f04740.png,112.63,75.28,1441.95,No,No,No,No
Seq05VD_f04770.png,123.58,73.3,1689.1,No,No,No,No
Seq05VD_f04980.png,143.59,78.85,1181.2,No,No,No,No
Seq05VD_f05010.png,123.03,78.22,1224.72,No,No,No,No
Seq05VD_f05040.png,116.64,78.32,1406.2,No,No,No,No
Seq05VD_f05070.png,117.16,81.99,1097.71,No,No,No,No
